title,url,content
"スクラップブックが簡単にできる！写真加工アプリ【iPhoneでチャンスを掴め】
","http://news.livedoor.com/article/detail/6590267/
","['iPhoneで撮影した写真をトリミングして、いくつかの写真をまとめて1枚の写真にしたいと思ったことはありませんか？\u3000画像編集ソフトで難しい操作をするのも手ですが、もっと簡単にできるアプリを紹介します。こんな人におすすめ：\n', '写真を切り貼りしてスクラップブックを作りたい人\n', 'こんなときにおすすめ：\n', '画像をスクラップして可愛く見せたいとき\n', '\n', 'アプリ名：papelook\n', 'カテゴリ：カメラ\n', '価格：無料\n', '\n', 'いろんな写真をスクラップして一枚の画像にしたいとき使える、かわいいアプリのご紹介です。iPhoneアプリランキングでカメラカテゴリ１位獲得のアプリです。\n', '\n', '\n', 'どうですか？上の写真！可愛いですよね。こんな画像が簡単にできちゃうアプリなんです。\n', '\n', '\n', '切り抜きの形がたくさんあるので、切り抜きたい所を簡単に選択できます。背景素材も豊富で、いろいろなイメージに合わせられます。SNSへアップするときも、保存するだけ。\n', '\n', '上手く、可愛く見せたいときに、使えるアプリでした。\n', '\n', '■RainbowApps - iPhoneアプリ開発を学ぶ\n', 'なら1000人が受講したEagleが運営する東京校が一番！\n', '■成長率 888% 毎日 50万台増える Androidアプリに参入しよう。Androidマスターコース\n', '■人気のAngryBirds風アプリやスーパーマリオ風アプリが簡単に作れちゃう。ゲームアプリコース\n', '■iPhoneの日米人気アプリランキングをチェックするからRainbowApps\n', '\n', '■RainbowAppsの記事をもっと読む\n']"
"今でも、後でも読めるニュースがここにある！スマホでもタブレットでも読みやすいITニュース活用法【ITニュースで目指せ情報通】
","http://news.livedoor.com/article/detail/6823909/
","['「情報を制するものは世界制す」とまで言われていますが、ネット時代の今、まさに情報を上手に活用できないと、仕事や友人関係でもドロップアウトしかねません。特にIT分野やハイテク関連の情報は、最新情報が日々更新されており、ほんの少し目を離しているだけで、浦島太郎状態になるほどです。\n', '\n', 'とはいえ、IT関連サイトを定期的にチェックしたり、サイト毎のRSSを集めるのは結構な手間でチェックするのも面倒だったりします。\n', '\n', 'そんなIT関連の最新情報を、すばやく短時間でチェックできるのが、「ITニュース by livedoor ニュース（以下、ITニュース）」です。\n', '\n', '\n', '最新のニュースチェックで欠かせないのが、複数のニュースソースがチェックできることです。多様化するニュース情報は、提供する媒体で情報が違ったり、分析も違ったりしています。1つのニュースソースしかないと正しい情報や見解を確認したとはいえないからです。\n', '\n', '次に大事なのは、やはり見やすさです。気になるニュースがあっても、外出先や移動中、利用している端末の違いで見やすさが変わっては、素早く快適にチェックはできません。さらに、外出先や仕事中だと、その場で詳細内容までチェックできないケースも多いので、あとで読んだり、パソコンなどでも読める機能も大切です。\n', '\n', 'ITニュースは、IT業界の動向を、様々なサイトから発信される情報を1つのアプリで確認できるだけでなく、モバイルやITビジネス、Webサービスなどのカテゴリに整理されてチェックすることができます。さらに画面を左右にスワイプ（指で移動）させるだけで、カテゴリの他の記事も、どんどんスライドして読めるので、一気に情報をチェックできます。\n', '\n', 'また、その場で詳細まで読めない場合は、ブックマークや履歴機能で、あとからでもじっくり読んだり、シェア機能でFacebookやTwitterに発信したり、Evernoteにリンクを転送したりできますので、あとでパソコンで読むといったことも簡単にできるのです。\n', '\n', 'また、最近では、大画面の5インチスマートフォンや、さらに大画面の7インチ〜10インチタブレットも登場し、ニュースチェックする端末も多様化しています。\n', 'ITニュースは、こうした画面サイズのことなる端末でも快適にニュースチェックが可能です。\n', '\n', 'そこで今回は、ITニュースで、便利なニュースチェックの方法を紹介します。\n', '\n', '■がっつり読みたい人は、全文記事を一気見できる「スワイプ」が便利\n', 'ITニュースには、最新のタイトルが一覧できる「すべて」と記事全文を読める詳細ページがあります。ざっと最新のニュースをチェックするだけならタイトル一覧の「すべて」を見ればすみますが、やっぱり全文をしっかり読みたいという人もおおいでしょう。\n', '\n', 'しかし、全文表示から一覧に戻って、また全文を表示させるのは、とても面倒です。そこで、使いたいのが「スワイプ」機能です。\n', '\n', '全文表示画面を左右にスライドさせると、今みているカテゴリの全文記事が次々に切り替わるのです。これでもいちいち一覧ページにもどらなくても、全文記事を一気読みができるというわけです。また「14/50」のように、今見ている記事が何番目の記事かも確認できます。\n', '\n', '\n', ' \n', '見ているカテゴリの全記事をサクサク切り換えられる。 \n', '\n', '\n', '■大画面でもフォントサイズを変更で快適ニュース閲覧\n', '7インチや10インチなどのタブレットでニュースをみれば、一覧表示でより沢山の記事がチェックできて便利ですが、全文表示では文字がちょっと小さくなってしまいます。\n', '\n', 'そこで、ITニュースでは、全文表示での文字サイズをワンタッチで大きくすることができます。使い方は簡単で、ニュース記事の詳細画面で端末のメニューボタンを押して「フォント」をタップするだけ。これで記事のフォントサイズの大小を切り替えることができます。\n', '\n', '\n', ' \n', 'メニューのフォントボタンで、文字の大小を切り換えることができます。 \n', '\n', '\n', '\n', ' \n', '10インチタブレットでもフォントサイズをワンタッチで切り換えてみやすくできます。 \n', '\n', '\n', '■あとで読みたいた時は、ブックマーク閲覧履歴でじっくり読める\n', 'ニュースには、簡単に読める速報的なものと、じっくり読みたい解説的な記事があります。\n', '\n', 'とくに解説的記事は、外出先や移動中でなく、会社のデスクに戻ったり、自宅でじっくり読み直したいものです。\n', '\n', 'そんな時に活用してほしいのが、「ブックマーク」です。記事タイトルの右端のリボンマークをタップするだけで、ブックマークに登録されますので、あとで読み直すとき、記事を検索したり、手動で探す手間が入らなくなります。\n', '\n', '\n', ' \n', '一覧画面の旗のマークをタップでブックマークに登録。 \n', '\n', '\n', 'また、途中まで読んでいてブックマークできずに閉じちゃったという場合も、大丈夫です。ITニュースには「閲覧履歴」機能があります。「閲覧履歴」は見た記事を記録していますので、途中までしか読めなかった記事でも、すぐ見つけることができます。\n', '\n', '\n', ' \n', ' \n', '\n', '\n', '「ITニュース」は、3インチ台から10インチ台まで、画面サイズが違っていても、素早く快適で、見やすくニュースを読むことができます。\n', '\n', 'ブックマークや閲覧履歴も使えば、忙しいときは、後からニュースをじっくり読むことができます。ITニュースは早くニュースを読みたい人でも、じっくりニュースを読みたい人でも楽しめるアプリと言えるでしょう。\n', '\n', '■ITニュース by livedoor ニュース - iTunes App Store\n', '■ITニュース by livedoor ニュース - Google Play\n']"
"最新モバイルルーターに強い味方！ドコモ BF-01D用大型大容量バッテリー【モバステ通信】
","http://news.livedoor.com/article/detail/6710356/
","['ドコモの「BF-01D」は、超高速通信「Xi（クロッシィ）」対応のモバイルルーターだ。受信時最大75Mbpsの高速で快適なインターネットを楽しめるのが大きな魅力だ。そんなユーザーの中には、バッテリーの持ちが気になる人もいるだろう。\n', '\n', 'そうした人に向けて、Mobile Stationは、「ドコモ モバイルルーター BF-01D用大型大容量バッテリー」を発売したので、ここで紹介しよう。\n', '\n', '■約2.5倍の大容量\n', '「ドコモ モバイルルーター BF-01D用大型大容量バッテリー」は、文字通りにモバイルルーター BF-01D用に開発された大容量バッテリーだ。\n', '\n', '標準バッテリー（1,880mAh）と比べて約2.5倍となる4,800hのバッテリーなので、屋外でも長時間使い続けることができる。\n', '・ドコモ モバイルルーター BF-01D用大型大容量バッテリー\n', '\n', 'モバイルルーター BF-01Dのバッテリーの持ちが気になる人には、最強兵器といっても過言ではないだろう。\n', '\n', '■MobileStation\n', '■メディアバンク\n', '\n', '\n', '\n', '\n', '■【モバステ通信】の記事を読む\n', '・最新スマホに最強兵器が登場！ソフトバンク AQUOS PHONE 104SH対応大容量バッテリー\n', '・最新スマホに最強兵器が登場！ソフトバンク AQUOS PHONE 103SH対応大容量バッテリー\n', '・話題のスマホに強い味方！ドコモ MEDIAS ES N-05D用大型大容量バッテリー\n', '・話題のスマホに強い味方！ソフトバンク MEDIAS LTE N-04D用大容量バッテリー\n', '・ソフトバンクのスマホに強い味方！ソフトバンク AQUOS PHONE SH-01D対応大容量バッテリー\n', '\n', '【エプソン純正インク】インクカートリッジ 6色セット IC6CL50\n', 'エプソン\n', '販売元：Amazon.co.jp\n', 'クチコミを見る\n']"
"歌＋歌＝歌　見事な才能に感嘆！え？二曲を同時再生するとまったく別の曲が！
","http://news.livedoor.com/article/detail/6484639/
","['ハロープロジェクト所属のグループ「Berryz工房」が歌う「Because happiness」と「℃-ute」が歌う「幸せの途中」を同時に再生すると1つの曲に仕上がると言う仕組みが判明して話題になっている。プロデューサーのつんく♂氏が練りに練って仕掛けた仕組みに「やるな〜」「あふれる才能！」「音で遊ぶのは昔から凄かったけどここまで凄いとは」といった反応が見られる。\n', '\n', '4月17日のつんく♂氏のブログエントリー「Berryz工房×℃-ute」で2曲を同時再生すると別の曲になるという種明かしがされている。\n', '\n', 'つんく♂氏いわく\n', '\n', '本来はもっとバラバラにしても面白いかなって思ったりしてたんですが、\n', '結局は２パターンで１曲に仕上がるようにしました。\n', '\n', 'イメージは戦隊もののロボットのように、それぞれ一体でも戦えるし、\n', '特長があるけど、合体すると違う形に見えて、そして威力もが倍増する。\n', 'そういったイメージですね。\n', '\n', 'とのことだ。\n', '才能のある人の考えることって素直にスゴイとしか言いようがない。\n', '\n', 'この話題でふと思い出したのが30年くらい前に大滝詠一氏の曲「FUN×4」（4times FUN）と彼が当時のスーパーアイドルだった松田聖子に提供した曲「いちご畑でつかまえて」が同じコード進行で作られているといった話。確かそうじゃなかったかな〜？と探してみたところ発見。今回のつんく♂氏ほど凝った仕組みではないが、どちらも才能があるってスゴイ、そしてうらやましいですな。\n', '\n', '\n', '\n', 'Berryz工房「Because happiness」\n', '\n', '\n', '℃-ute 「幸せの途中」\n', '\n', '\n', 'Berryz工房×℃-ute 合体バージョン\n', '\n', '■オマケ「いちご畑で4times FUN : 大瀧詠一/松田聖子」\n', '\n', '\n', '■つんく♂Official Blog該当エントリー\n', '■ハロープロジェクト\n']"
"待ってましたのGPUが発売！新型Radeon HD搭載カードが続々登場中
","http://news.livedoor.com/article/detail/6385394/
","['バリバリな3D性能を必要とするケースって、FPSやTPSといったフレーム単位で勝負が分かれるようなことでもないかぎり、そうそう必要ない。そうした特殊な状況は除外したとしても、大規模MMORPGを高解像度でなおかつ各種効果をガンガンに効かしてプレイするとなると、それなりの3D描画性能は必要だ。\n', '\n', 'パーツ市場を見まわしてみると2万円台半ばのグラフィックスカードでは、いまいち性能的に物足りない。かといってその上を狙うとなると一気に5万円を超えてしまう。というアンバランスな状況があった。5万円超のカードは性能は良くても高すぎる。性能的にハイエンドのちょっと下、ミドルレンジよりは上くらいのカードが欲しいというニーズに合う製品がなかったわけだ。\n', '\n', 'そんなニーズにぴったりなGPUが今月頭に発表された。それがAMDのRadeon HD 7870とRadeon HD 7850だ。Radeon HD 7870は4万円半ばをカバーしRadeon HD 7850が3万円台半ばをカバーする。これでグラフィックスカード市場で2万円台半ばから3万円台半ば、4万円台半ば、5万円以上と選択できる製品ラインが完成した。\n', '\n', '3月5日の発表では、製品がいつ登場するのかといったことが不明であったが、3月19日以降に各社よりこの2つのGPUを搭載したグラフィックスカードが発売になる。\n', '\n', 'Radeon HD 7870とRadeon HD 7850は、この上にRadeon HD 7950を置き、下がRadeon HD 7770になる。製造プロセスは28nmプロセスでトランジスタ数は共に28億、ストリーミングプロセッサーの数とテクスチャユニットの数、コアクロックの動作周波数が異なる。\n', '\n', 'Radeon HD 7870ではストリーミングプロセッサーが1280、テクスチャユニットが80、コアクロックが1GHzジャストになっている。Radeon HD 7850ではストリーミングプロセッサーが1024、テクスチャユニットが64、コアクロックが860MHzとなる。\n', '\n', '■MSIは独自の冷却構造搭載でオーバークロック可能な2製品\n', '\n', 'MSIが発売するのは「R7870 Twin Frozr III OC」「AMD Radeon HD 7850」の2製品だ（写真1、写真2）。製品名の最後の「OC」は文字通り「Over Clock」を意味しており、RADEON HD 7870を搭載する「R7870 Twin Frozr III OC」は1GHzオーバーのコアクロック1,050MHz、RADEON HD 7850を搭載する「R7850 Twin Frozr III OC」はコアクロック900MHzに設定されて出荷される。\n', '\n', '\n', ' \n', '写真1■コアクロック1GHzオーバー設定で出荷される「R7870 Twin Frozr III OC」 \n', '\n', '\n', '\n', ' \n', '写真1■コアクロック900MHz設定で出荷される「R7850 Twin Frozr III OC」 \n', '\n', '\n', '製品名：R7870 Twin Frozr III OC\n', '型番：R7870 Twin Frozr III OC\n', '発売時期：3月22日\n', '予想市場価格：4万3,000円前後\n', '\n', '製品名：R7850 Twin Frozr III OC\n', '型番：R7850 Twin Frozr III OC\n', '発売時期：3月22日\n', '予想市場価格：3万3,000円前後\n', '\n', '■Sapphire Technologyはノーマル版からOC版までずらりと4モデル\n', '\n', 'Sapphire Technologyはノーマルクロック版2製品とオーバークロック版の2製品、計4製品を発売する。クロックアップが行われないスタンダードモデルが「Sapphire HD 7870 GHz Edition 2GB GDDR5（型番：SAHD787-2GD5R001/11199-00-20G）」と「Sapphire HD 7850 2GB GDDR5（型番：SAHD785-2GD5R001/11200-00-20G）」の2モデルだ。\n', '\n', 'そしてオーバークロック版は1GHzから1050MHzにクロックアップした「Sapphire HD7870 GHz Edition OC 2GB GDDR5（型番：SAHD787-2GD5OCR001/11199-03-20G）」と860MHzから920MHzにクロックアップした「Sapphire HD 7850 OC 2GB GDDR5（型番：SAHD785-2GD5OCR001/11200-01-20G）」の2モデルとなる（写真3、写真4）。いずれのモデルもオリジナルのデュアルファンクーラーを装備して冷却性能を高めている。\n', '\n', '\n', ' \n', '写真3■1GHzから1050MHzにクロックアップした「Sapphire HD7870 GHz Edition OC 2GB GDDR」 \n', '\n', '\n', '\n', ' \n', '写真4■860MHzから920MHzにクロックアップした「Sapphire HD 7850 OC 2GB GDDR5」 \n', '\n', '\n', '\n', '製品名：HD7870 GHZ EDITION 2G GDDR5 PCI-E HDMI / DVI-I / DUAL MINI DP\n', '型番： SAHD787-2GD5R001/11199-00-20G\n', '発売時期：3月中旬〜下旬\n', '予想市場価格：4万円台前半\n', '\n', '製品名：HD7850 2G GDDR5 PCI-E HDMI / DVI-I / DUAL MINI DP\n', '型番：SAHD785-2GD5R001/11200-00-20G\n', '発売時期：3月中旬〜下旬\n', '予想市場価格：3万円台前半\n', '\n', '製品名：HD7870 GHZ EDITION 2G GDDR5 PCI-E HDMI / DVI-I / DUAL MINI DP OC VERSION\n', '型番： SAHD787-2GD5OCR001/11199-03-20G\n', '発売時期：3月中旬〜下旬\n', '予想市場価格：4万円台前半\n', '\n', '製品名：HD7850 2G GDDR5 PCI-E HDMI / DVI-I / DUAL MINI DP OC VERSION\n', '型番： SAHD785-2GD5OCR001/11200-01-20G\n', '発売時期：3月中旬〜下旬\n', '予想市場価格：3万円台前半\n', '\n', '■グラフィックボード情報\n', '■アスク\n', '\n', '\n', '\n', '\n', '\n', 'SAPPHIRE Radeon ビデオカード HD7870 GHZ EDITION 2G GDDR5 PCI-E 日本正規代理店品 SAHD787-2GD5R001\n', 'クチコミを見る\n']"
"グラフィックスの頂上対決！GeForce GTX680 vs Radeon HD7970
","http://news.livedoor.com/article/detail/6494106/
","['「Kepler搭載製品が登場！MSIやZOTACよりNVIDIA GeForce GTX 680カード」で紹介したように、KeplerことNVIDIA GeForce GTX 680を搭載するグラフィックスカードが各社から一斉に発売された。\n', '\n', 'インテルのTurboBoostのGPU版とも言える自動クロックアップ機能「GPU Boost」に加え、前モデルとなるFermiことGeForce GTX 580は消費電力が高かったがKeplerは消費電力が大きく減っている。新アンチエイリアス機能によって画像のなめらかさが大幅に向上しているなど高性能かつ高機能となっているのが特長だ。\n', '\n', 'GeForce GTX 680のグラフィックス性能は、どれくらいの実力があるのか。PCユーザーの中には、そのパフォーマンスが気になる人もいるだろう。VSPECに協力していただき、グラフィックス性能を検証することができたので、さっそく紹介しよう。\n', '\n', '■頂上対決の軍配は！GeForce GTX680 vs Radeon HD7970\n', 'AMDは2011年12月22日、デスクトップPC向けのGPUとしては最高峰となるGPU「Radeon HD 7970」を発表した。GeForce GTX 580に奪われたGPU頂点の座を見事に奪回したのは記憶に新しいところだ。\n', '\n', 'そうしたAMDに対して、NVIDIAも反撃に出た。GTX 580の後継となる待望の新型GPU「GeForce GTX 680」を発表した。AMD Radeon HD 7970との頂上対決の軍配は、どちらにあがるだろうか気になるところだ。\n', '\n', 'テストに使用したパソコンのスペックは下記の通り。\n', '\n', ' \n', 'CPU-Zの結果 \n', '\n', '今回は、GPUの性能を計測する定番ソフト「3Dmark11※」を使用して、GeForce GTX 680とRadeon HD 7970のパフォーマンスを測定した。参考値として、GeForce GTX 580の数値も載せている。\n', '※3Dmark11(1.0.3)Performance\n', '\n', ' \n', '3Dmark11の結果 \n', '\n', '3Dmark11の結果を見ると、GeForce GTX 680は9000を超え、10,000に迫る値となった。これまでシングルGPUで最強をうたっていたRadeon HD 7970を上まわったうえに、GeForce GTX 580と比較して約30％もパフォーマンスが向上している。この性能ならGPUの頂点に立つ“最強のGPU”と言っても過言ではないだろう。\n', '\n', '・続きは、こちら\n', '\n', '■VSPEC\n', '■メディアバンク\n']"
"なんだこの不思議な空は？　神奈川周辺で見られた不思議な空が話題に
","http://news.livedoor.com/article/detail/6869015/
","['昨日、神奈川県の海岸近くで観測された不思議な空が話題になっている。これ「反薄明光線」（はんはくめいこうせん）と呼ばれる現象で、Wikipediaによると「太陽が雲に隠れているとき、雲の切れ間あるいは端から光が漏れ、太陽と正反対の方向に光線の柱（光芒）が放射状に収束して見える現象」なのだそうだ。\n', '\n', 'この現象が起きる条件が限られており、比較的観測されやすい場所として、熱帯の島、高い山、飛行中の航空機といった場所が挙げられる。それが湘南の海岸付近で観測されたということは、かなりレアな条件が整ったのだろう。その条件とは以下\n', '\n', '1）地上から見た太陽の角度が低くなる早朝や夕方で日の出や日没直前であること、\n', '\n', '2）太陽光線をさえぎるくらいの厚みがあって、かつ切れ間のある雲の発生\n', '\n', '3）雲を構成する水滴よりも小さく、目に見えない水滴が多数浮遊した状態がある\n', '\n', '4）3番目の状態が長い光の経路全体に分布していること\n', '\n', '上記の条件が整うことで観測される現象だそうだ。悪いことが起きる前兆でもなければ、地震雲と呼ばれる大地震の前兆でもない。むしろ実際に観測できた人は幸運に恵まれたと思ったほうがいいだろう。\n', '\n', 'togetter：神奈川県で目撃された光の帯まとめ（理由わかりました）\n']"
"HTPCも作れるMini-ITXマザー登場！ZOTAC D2700-ITX WiFi Supreme
","http://news.livedoor.com/article/detail/6353340/
","['ホームシアターPC（HTPC）といえば、HD解像度の動画を楽々と再生できるスペックを詰め込んでありながらも、リビングの大画面テレビの脇に設置できるくらいにはコンパクトなサイズでないといけない。そんなHTPCを自作できるAtom搭載マザーが登場した。\n', '\n', 'ホームシアターPC（HTPC）といえば、HD解像度の動画を楽々と再生できるスペックを詰め込んでありながらも、リビングの大画面テレビの脇に設置できるくらいにはコンパクトなサイズでないといけない。そんなHTPCを自作できるAtom搭載マザーが登場した。\n', '\n', 'ZOTAC D2700-ITX WiFi SupremeはCPUにIntel Atom D2700（デュアルコア、2.13GHz）を搭載するMini-ITXマザーボードだ。最大の特長はオンボードグラフィックスとしてNVIDIAのGeForce GT 520を搭載しているところだ。\n', '\n', 'このおかげでハードウェアによる動画再生支援機能が利用でき、非力なCPUではあるがフルHD動画などの高解像度動画でも余裕で再生できる性能になっている。また、オンボードでIEEE802.11nの無線LANやBluetooth 3.0といったワイヤレス機能、2つのUSB3.0ポートやSSDを装着できるmSATAスロットと必要十分なインタフェース類も搭載している。\n', '\n', 'CPUがAtomなのでバリバリ使うメインマシンといった通常のPCとしての利用は当然厳しいだろうが目的を絞った利用、たとえば動画や音楽再生の専用PCやテレビ録画PC兼NAS用PCといった使い方が似合いそうだ。\n', '\n', '価格はオープンプライスだが実売では1万円台後半となる見込みだ。あとはマザーが収まるケースとメモリー、HDDさえ用意すればマシンを1台組み上げることができる。格安でセカンドマシンを自作したい人にもオススメだ。取り扱いはアスクで発売は3月下旬を予定。\n', '\n', '■製品紹介ページ\n', '■アスク\n', '\n', '\n', '\n', '\n', '■マザーボードの記事をもっと見る\n', '・次世代22nmプロセッサー対応「Z77X-UD5H」マザーボードの魅力をさぐる\n', '・聞こえてきたIVY Bridgeの足音！GIGABYTEがCeBIT 2012でIVY Bridge対応マザーを展示\n', '・Windows 8時代でも使える小型PCに最適！次世代22nmプロセッサー対応可能な高コストパフォーマンスMini-ITXマザー「GA-H61N-USB3」""\n', '・GIGABYTE、Z68人気モデルにBluetooth4.0/Wi-Fiカードを追加！PCの無線化を加速する「GA-Z68XP-UD4/WIFI」を発表\n', '\n', '\n', 'AMD Fusion-ITX WiFi FUSION350-A-E\n', 'クチコミを見る\n']"
"かっこ良すぎるまな板！　アスクよりAerocoolの「Strike-X AIR」登場
","http://news.livedoor.com/article/detail/6876393/
","['冒頭の写真を見てこれが何だか理解できる人は、かなりのハードウェア通だ。たいていの人は、何だこれ？\u3000という反応を示すはずだ。結論から言ってしまうと、これはPCケースである。通称”まな板”と呼ばれるカテゴリーに属しており、この手のケースがいくつかリリースされている。基本的には、同じシステムを長く使う人向けではなく、頻繁にマザーボードやグラフィックスカードを変えるような人向けになる。\n', '\n', '\n', '新しいCPUが出たらマザーボードごと購入してさっそく試してみたり、同じCPU、チップセット、メモリー容量でグラフィックスを交換したら、システムパフォーマンスはどう変わるのかといったことを試したい人などが、こうしたまな板を利用する。IT系メディアでPCハードを扱う部署であれば、ラボやテストルームにこの手のまな板は必ず置いてある。筆者もかつて所属したパソコン雑誌のテストラボで、パーツを取っ替え引っ替えしてはベンチマークソフトを走らせていたものだ。\n', '\n', 'さて、このまな板PCケース「Strike-X AIR」だが台湾ベンダーのAerocoolの製品になる。Aerocoolはゲーマーには知られたメーカーで、ゲーマー向けのPCケースや電源、ヘッドホンなどのアクセサリを中心に販売しており、かなりの支持を集めているベンダーだ。今回、アスクが同社の製品を扱うことになり、その第一弾がこのStrike-X AIRというわけだ。\n', '\n', 'はっきり言うとPCのハードウェアを頻繁に交換するような使い方をしない人が、この手のまな板系PCケースを購入して使うのはオススメできない。頻繁にパーツを交換するような使い方をするユーザーにこそオススメだ。とはいえ見た目のインパクトはかなりのモノがある。目立ちたいという人なら、あえてこうしたケースを選んでみるというのもアリかもしれない。実売で1万円ちょっとと使えるPCケースとしては、手ごろな値段だ。\n', '\n', '\n', '◆製品情報\n', 'メーカー：Aerocool\n', '製品名：Aerocool Strike-X AIR\n', '型番：EN56830\n', '発売時期：9月上旬\n', '予想市場価格：10,800円前後\n', '\n', '■Aerocool Strike-X AIR\n', '■アスク\n']"
"いよいよラストの町会議！　ニコニコ町会議in 東京都八丈島の詳細決定
","http://news.livedoor.com/article/detail/6893325/
","['ドワンゴおよびニワンゴによると、7月29日から開始している日本の地方の町で開催するniconicoの「移動式文化祭」イベント「ニコニコ町会議」ツアーの最終公演となる東京都八丈島の詳細が決定した。場所は東京都八丈島、日時は8月30日（木）、八丈島で開催される「離島甲子園」とニコニコ町会議を同時開催することになった。\n', '\n', '\n', ' \n', ' \n', '\n', '\n', '会場では、荷台にミニ神社を備えて参拝客の模様がネット生中継される「ニコニコカー神社」、niconicoのキャラクター「ニコニコてれびちゃん」をモチーフとしたメニューなどを提供する「町ニコニコフード」、ネット視聴者と会場来場者の前で歌声を披露できる「町ニコニコのど自慢（協力：JOYSOUND）」など、ニコニコ町会議コンテンツを展開することになっている。\n', '\n', 'ほかにも「描いてみたコーナー」や「ゴム銃作ってみた〜ニコニコ射的〜」「踊ってみたレッスン」など、niconicoで活躍するユーザーと地元の方々が主体となった地域交流コンテンツ、さらに八丈島で開催の「離島甲子園」決勝戦を始め、地元名産品や島民によるフラダンス、太鼓など地元芸能を紹介する地域PRコンテンツを展開し、その模様はニコニコ生放送で全国に生中継される。なお、来年の超会議2（たぶん開催）が、どうなるかも、ここで発表されることになっている。\n', '\n', 'イベント詳細は以下の通り\n', '\n', '■ニコニコ町会議in東京都八丈島\n', '・日時：2012年8月30日（木）15:00〜20:00\n', '※「離島甲子園」と同時開催。入場無料。\n', '・場所：大賀郷園地内（東京都八丈島八丈町大賀郷）\n', '・ニコニコ町会議全国ツアー2012 特設サイト\n', '\n', '■出演\n', 'プレゼンテーター：\n', '杉本誠司（株式会社ニワンゴ代表取締役）\n', '奥井晶久（niconico運営）、ほか\n', '\n', 'ニコニコユーザ−：\n', 'みうめ（踊ってみた）、okailove（踊ってみた）、鋼兵（歌い手）、\n', '事務員Ｇ（演奏してみた）、てっぺりんＰ（ボカロＰ）、せら（絵師）、\n', 'ガッチマン（ゲーム実況）、百花繚乱（タコ焼き屋）\n', '\n', '■地元ユーザーからのメッセージ\n', '「町会議ファイナル八丈島と聞いてうかれています！企画では特産品のくさやを食べながら焼酎を飲む宴生とかも面白いかもしれません。なんでもご協力したいと思っております、よろしくお願いします！\n', '\n', '追伸：勝手ながら町会議の歌をつくらせていただきました。（sm17734229）」\n', 'ユーザーネーム：「てっぺりんP」さんより\n', '\n', '■「離島甲子園」について\n', '元プロ野球ロッテオリオンズのエース、村田兆治氏の活動がきっかけで生まれた、離島在住の中学生による唯一の全国野球大会。今年が第五回目の開催となる。\n', '\n', '■実施イベント：2012年8月30日（木）15：00〜20：00\n', '・町会議コンテンツ\n', '1）オープニングセレモニー\u300015：00〜\n', '2）ニコニコカー神社：\n', '町会議のシンボルとして荷台にミニ神社を備え、参拝客の模様をニコニコ生放送で生中継。\n', '3）町ニコニコのど自慢（協力：JOYSOUND）：\n', '特設ステージで、ネット視聴者と会場来場者に向けたカラオケ大会を実施。\n', '4）町ニコニコフード：\n', 'テレビちゃん焼き（大判焼き）やオリジナル調合ポーションをご提供。\n', '5）町ニコニコグッズ（ニコニコ本社出張所）：\n', '東京原宿「ニコニコ本社」でしか手に入らないグッズ等を販売。\n', '6）マギカ調べ上映会：\n', 'アニメ「魔法少女まどか☆マギカ」から生まれた、中川翔子さん、田原総一郎さんら出演の落語映画「マギカ調べ」を上映（上映時間：15分）\n', '7）痛車展示（協力：痛Ｇふぇすた）\n', '車体に込めた地域の熱いアートを鑑賞。\n', '\n', '・地域交流コンテンツ\n', '1）ユーザーマーケット（展示即売会）\n', '2）ゲーム実況コーナー（適宜休憩が入ります）：ガッチマン\n', '3）有名ユーザーによる手作り料理コーナー：百花繚乱による手作りたこ焼き屋 \n', '4）描いてみたコーナー：せら\n', '5）踊ってみたレッスン＆ステージ発表：踊り手・みうめ、okailoveによるダンスレッスン\n', '6）ゴム銃作ってみた〜ニコニコ射的〜（協力：日本ゴム銃射撃協会）\n', '\n', '・地域PRコンテンツ※適宜実施\n', '地元PRコーナー／地元名産品をネットで全国に生中継でご紹介\n', '離島甲子園決勝戦を生放送／八丈島民によるフラダンスや太鼓\u3000ほか\n', '\n', '■ニコニコ町会議全国ツアー2012 特設サイト\n', '■niconico\n', '\n', '\n', '\n', '\n', '■町会議の記事をもっと見る\n', '・超町会議が震災復興を応援！\u3000福島県三春町の町会議レポート\n', '・明日は福島県三春町で町会議！\u3000北の大地に2千人来場！北海道長万部町の町会議\n', '・町会議ラス前開催は福島県！\u3000ニコニコ町会議in 福島県三春町の詳細決定\n', '・地方の元気が日本の元気に！「ニコニコ町会議」佐賀県唐津市呼子町に1万6千人が来場\n', '・今週末は北海道へGo！\u3000ニコニコ町会議in 北海道長万部町の詳細決定\n', '・超会議は超赤字だったけど・・・！\u3000ニコニコ町会議全国ツアー元気に始動！\n']"
