title,url,content
"【最新キャンギャル＆レースクイーン写真集 東京オートサロン2011】  vol.4 （58枚）
","http://news.livedoor.com/article/detail/5288129/
","['【最新コンパニオン写真集 東京オートサロン2011】 vol.1（51枚）｜vol.2（40枚）｜vol.3（58枚）｜vol.4（29枚）｜\n', '\n', '■2010 日本レースクイーン大賞の模様は【⇒こちら】\n', '\n', '国内最大級のカスタムカーの祭典「東京オートサロン 2011 with NAPAC」が14日、千葉市の幕張メッセで開幕した。自動車メーカー、パーツメーカー、カスタムショップ、学校や関連団体などが出展して毎年開催されるイベントで、今年で29回目となる。\n', '\n', '今回は361社が計626台を展示。オリジナリティーで集客力アップを目指す自動車メーカーは、各社それぞれのブランドカラーを強く打ち出しているのが近年の特徴で、トヨタ自動車がハイブリッド車（HV）「プリウス」、日産自動車が電気自動車（EV）「リーフ」のカスタムカーを展示するなど、エコカーとカスタムカルチャーとの融合という新しいジャンルが確立されつつある。\n', '\n', 'トヨタは小型車「ヴィッツ」に個性的な外装を施したスポーツタイプの特別仕様車などを出展。また北米市場で絶大な人気を誇り、日本での発売が心待ちにされていたFJクルザーが昨年12月に国内デリバリー開始となったことから、同車のカクタムタイプも多く展示されたいた。ホンダはサーキットパドックを模した展示スペースに、スポーツHV「CR-Z」の走行性能を高めたコンセプトカーなどを展示し、よりスポーツカラーを強く印象付ける展示内容となっていた。\n', '\n', 'また会場内のド派手なカスタムカーに華を添えるキャンペーンガールやレースクイーンも多数出演中。\n', '色とりどりのコスチュームで会場を彩るキャンギャルの姿はこちらでチェック！\n', '【最新コンパニオン写真集 東京オートサロン2011】 vol.1（51枚）｜vol.2（40枚）｜vol.3（58枚）｜vol.4（29枚）｜\n', '\n', '■関連リンク\n', '・東京オートサロン - 公式サイト\n']"
"杉本彩が過去を告白「離婚という“人生のひきがね”を引いて良かった」
","http://news.livedoor.com/article/detail/4765497/
","['\u3000人生のひきがねを引け——。映画「トランスポーター」「TAXi」「96時間」の名コンビが放つ、映画「パリより愛をこめて」。いよいよ公開を今週末15日に控え、12日公開直前イベントが開催され、ゲストにパリの様に都会的で“危険な女”杉本彩が登場した。\n', '\n', '\u3000「パリより愛をこめて」は、任務のためには手段を選ばない危険な男と、人を撃てない見習い捜査官世界一真逆の二人が、パリを舞台に巨大犯罪組織を追うサスペンス・アクションの新境地。ジョン・トラボルタの衝撃的な“スキンヘッド”姿が話題を呼んでおり、イベントにはスキンヘッドのモデル達が登場。杉本は「スキンヘッドって意外と色々なファッションに合わせられるし、素敵ですよね」と目を細めながら褒め称えた。\n', '\n', '\u3000イベントの目玉として行われた「人生のひきがねを引け！ゲーム」では、杉本が実際に舞台上の的を銃で狙って撃ち抜き、とある“指令書”をゲット。指令書には「映画『パリより愛をこめて』を体で表現」と記されており、杉本は「これ放送出来るかな…？」と苦笑い。しかし、いざ音楽がかかると、バッチリとポーズを決め抜群のスタイルで観客を魅了した。\n', '\n', '\u3000映画については、息もつかせぬガン＆カーアクションの連続に、「感受性が豊かなので色々なシーンに興奮しました」と満足気な様子。「最近他に興奮した事は？」という記者からの質問に対しては「先週とても興奮することがありました。この場ではとても言えませんけど（笑）」と意味深な回答。\n', '\n', '\u3000また、映画のキャッチコピー「人生のひきがねを引け」にちなみ「人生のひきがねを引いた経験は？」と話が及ぶと「数々のひきがねを引いてきましたが、やっぱり離婚かな。11年間の結婚生活でしたが、同棲時代を合わせると15年一緒に暮らしていたので。4年ほど悩んでひきがねを引きました。今では良かったと思っています」と、思い出を明かした。\n', '\n', '\u3000続けて「もう私の人生の辞書に“結婚”という文字はありません。お互いの心と心がつながっていれば、世の中のシステムに従う必要は無い」と再婚の可能性を否定。「はっきり言って結婚という制度は私にとって邪魔」と“アネゴ節”全開で一刀両断。\n', '\n', '\u3000さらに、「最近ひきがねを引いたのはいつ？」と聞かれると「あらゆる快楽の扉を広げる為に、ひきがねをいつも引いていますよ」と妖艶な笑みで男性陣をノックアウト。「さすがにこの年なので弾もたくさん持っていますし、一度ひいたら後悔しませんよ」と大人の女の余裕を見せた。\n', '\n', '\u3000映画「パリより愛をこめて」は5月15日（土）より全国ロードショー。\n', '\n', '・livedoor HOMME × パリより愛をこめて\n', '\n', '・杉本彩 - タレント情報\n']"
"SHIPSが伝授、ワンランク上を行くスーツの着こなし方 【新生活特集】
","http://news.livedoor.com/article/detail/4632362/
","['スーツは、オトコの戦闘服——。トレンドをしっかりと押さえたスーツの着こなしは、デキルオトコへの近道です。\n', '\n', 'livedoor HOMMEでは、「デキルオトコの新作スーツの着こなし方」と題し、人気セレクトショップのスタッフに、2010年の最新スーツとその着こなし方について、インタビューしていきます。\n', '\n', '前回は、SHIPS銀座店の土屋和之さんに、入門編とも言うべき、「スーツの選び方」について伺いました。今回は、さらにワンランク上の着こなしをマスターするため、シャツ、ネクタイ、靴、費用対効果の高い小物についてレクチャーしてもらいました。\n', '\n', '\n', 'ネクタイはラベンダーで春らしく\n', '\n', '——スーツに引き続きまして、シャツとネクタイの選び方も重要だと思います。オススメの組み合わせは？\n', '土屋和之さん：春・夏は、ラベンダーのネクタイがオススメです。白やブルーのシャツにも合わせやすいです。ボタンダウンなどのカジュアルなシャツには、ニットタイを合わせるのもいいでしょう。また、フォーマルなシャツであれば、シルバーのサテン生地を選ぶのもいいと思います。\n', '\n', '\n', '——プロならではのネクタイの結び方などあるのでしょうか？\n', '土屋さん：私はプレーンノットしかできないんです（笑）。基本の結び方が出来れば、何もいらないと思います。\n', '\n', '\n', '左から、シャツ¥11,550、タイ¥9,975（ともにSHIPS）、シャツ¥12,600（SHIPS）、タイ¥13,650（ステファノビジ）、\n', 'シャツ¥9,975（SHIPS）、タイ¥13,650（ステファノビジ）、シャツ¥12,600、タイ¥9,975（ともにSHIPS）\n', '問い合わせはコチラ\n', '\n', '\n', 'スリッポンが心地いい\n', '\n', '——靴や小物のオススメは？\n', '土屋さん：こちらの紺のスウェードのスリッポンです。\n', '\n', '\n', '靴¥54,600（クロケット ＆ ジョーンズ）\n', '\n', '雨の日ならば、ラバーソールがいいでしょう。\n', '\n', '\n', '靴¥36,750（SHIPS）\n', '\n', 'こちらであれば、ジャケパンでもいけますね。\n', '\n', '\n', '靴¥36,750（SHIPS）\n', '\n', '\n', '軽い生地をサラリと着こなす\n', '\n', '——最近は、ビジネスシーンでもジャケパンの方が増えているそうですね。\n', '土屋さん：年々、クールビズというのが浸透していますので、７月８月は、スーツを着ないという方が増えています。今回ご紹介したスーツは、イタリアの生地なんですけれども、４シーズンというシリーズで、一年中着用できる生地なんですね。今は、冬だから厚い生地を着るという方は、あまりいないです。\n', '\n', '\n', '\n', 'スーツ¥84,000、シャツ¥9,975、チーフ¥3,990（以上、SHIPS）\n', 'タイ¥9,450（ベントレー・クラバッツ）、靴¥63,000（クロケット ＆ ジョーンズ）\n', '問い合わせはコチラ\n', '\n', '\n', '費用対効果の高い「チーフ」\n', '\n', '——この着こなしにワンポイント、プラスするなら？\n', '土屋さん：チーフでしょうね。ビジネスのシーンでも付けている方が沢山いらっしゃいます。それが一枚あるか無いかで違って見えます。値段も、オリジナルのもので3000円前後ですので、費用対効果はかなりいいと思います。ベーシックな白はもちろん、春ならば、ラベンダーもいいでしょうね。柄物もありますけど、最初は無地で、2枚目以降にチェックなどをそろえると、春らしくていいかも知れません。\n', '\n', '\n', 'ブルーのシルクドット、リネンパイピングは¥3,990、ラベンダーシルクは¥2,940（SHIPS）\n', '問い合わせはコチラ\n', '\n', '\n', '押さえるべきポイントは4つ\n', '\n', '——今までのお話のポイントをまとめますと？\n', '土屋さん：ポイントは4つですね。\n', '（1）色をワントーン上げる。\n', '（2）腰周り、肩周りのサイズ選びがスーツの価値を決める。\n', '（3）生地など素材にこだわる。\n', '（4）流行は小物から取り入れる。\n', '\n', '\n', '——ありがとうございました。もしさらに深い話を聞きたければ、SHIPS銀座店の土屋さんを訪ねればいいでしょうか（笑）。\n', '土屋さん：はい（笑）。ご来店をお待ちしております。\n', '\n', '\n', '・SHIPSに聞く「デキルオトコの新作スーツの着こなし方」【新生活特集】\n', '・新生活特集 2010 SPRING - livedoor HOMME\n', '\n', '■関連リンク\n', '・SHIPS - 公式サイト\n', ' \n', '■問い合わせ\n', 'SHIPS 銀座店\n', '東京都中央区銀座3-4-15 菱進銀座ビルB1-3F \n', 'Tel:03-3564-5547 \n', '営業時間:11:00〜20:00\n']"
"“男を上げる”ホワイトデー成功の秘訣は“脳科学”にあり
","http://news.livedoor.com/article/detail/4645767/
","['今週末はホワイトデー。そろそろ奥さまや恋人はもちろんのこと、職場の女性陣へのお返しを考えている男性も多いはず！？\n', '\n', '「どうせ義理チョコなんだから、お返しも適当に」なんて侮ることなかれ。女性陣はしっかり覚えていますよ、あなたの対応をいつまでも。1年前のことも、２年前のことも、あなたが忘れ去ったずっとずっと前のことも…！\n', '\n', '思い当たることありませんか？例えば、夫婦や恋人とのケンカ。\n', '「いつもあなたはそうなのよ。あの時も、この時も、その時も。つい今だってそうでしょ！」\n', '男性にとっては、既に解決したと思っていたずっとずっと昔のことを並べ立てられ、非難される。ムッとする気持ちをひたすら堪え、ひとまず“大人の対応”で謝れば「謝れば済むと思ってんの？」なんて返され、まったく埒（らち）が明きません。\n', '\n', '\n', '脳をエンジニアリングの立場で研究し、アタッカーズ・ビジネススクールで講師を務める株式会社 感性リサーチ 代表取締役社長 黒川伊保子氏は、女性の気持ちをこう解析します。\n', '\n', '「男性と女性は脳の形が違い、機能が違います。また、分泌ホルモンが違い、男性と女性では意識のありようも違います。そのため、ものの見方、感じ方、快・不快のありようがまったく違っているのです。『いつだってあなたは…』と女性が過去を反復する行為は、子を生み育てる機能に起因します。\n', '\n', '例えば、子が熱を出したとします。子が熱を出すのは珍しいことではありません。この熱は、すぐに下がる熱なのか、危ない病気が伴う熱なのか。女性の脳は、子の過去をずっと遡って、子の症状を判断します。女性が過去を反復する思考性が男性に比べ強いのは、脈々と続いてきた子育てのDNAによるものなのです」\n', '\n', '\n', 'では女性の気持ちをつかんで“素敵な男性”と評価されるためには、どうすればよいのでしょう？それは、再び黒川伊保子氏の脳科学研究にヒントがありました！\n', '\n', '「女性の脳は過去を反復します。これは、時に “恨み”という副作用を伴いますが、プラスにも大きく作用します。例えば『君が担当しているクライアントは厳しいけど、愚痴ひとつ言わず頑張ってくれているね』など、現在を示す成果・結果だけでなく、過去を称える言葉をかけると、その女性脳が反復する過去が、素敵なものに変わるのではないでしょうか」\n', '\n', '男性の皆さま。ホワイトデーは“お返し”とともに、女性の過去を称える言葉の準備をどうぞ。それともうひとつ、３月14日は日曜日です。金曜日にうっかりお返しを忘れ、職場の女性陣から要らぬ “恨み”を買わぬよう、お気をつけください！\n', '\n', '\n', '■関連リンク\n', '・大前研一のアタッカーズ・ビジネススクールはこちら\n', '・黒川伊保子氏の感性マーケティング講座(E-アタッカーズ通信講座)はこちら\n', '・お仕事・副業検索はこちら\n']"
"世界を相手に戦うビジネスバーソンに贈られる栄誉とは？
","http://news.livedoor.com/article/detail/5230985/
","['今年も残すところあと4日。いざ振り返ってみると、どのようなことが思い出されるだろうか？ 今年の漢字「暑」に表されるような猛暑か、ユーキャン流行語大賞にもノミネートされた「脱小沢」といった政治模様か……。そんな混迷する社会状況と未曾有の経済不況が何年も続き、閉塞感漂う今の日本ではあるが、グローバルマインドを持ち、世界中で活躍する日本人も数多く存在することが、この国の未来を明るく照らしているようで心強い。\n', '\n', 'まずは今年6月に「社内公用語の英語化」を取り入れた楽天・三木谷浩史社長。2000人以上が勤務するオフィスにおいて社内公用語をすべて英語とすることを発表し、グローバル化に向けた方向性をどの企業よりも明確に示した。2005年にはIT系企業としてプロ野球界にいち早く参入るすなど、さまざまな分野で常に一歩先に行く姿勢を見せている企業だ。\n', '\n', '世界戦略という点においては、ユニクロを展開するファーストリテイリング・柳井正会長もそうだろう。6月には、「世界に向けた店舗デザインやレイアウト」を特長とする“世界視点”をコンセプトとした「グローバル旗艦店」を、経済成長の著しい中国・上海にオープン。また国内の店長と本部の管理職ら合わせて約900人全員を3〜5年以内に海外を拠点に派遣させるという戦略にも驚かされた。\n', '\n', '今年はスポーツ界でも世界を相手に戦ったオトコがいた。W杯南アフリカ大会で日本代表を率いた岡田武史監督だ。直前まで強い批判を受け続け、絶対に勝てないとまで酷評されたものの、フタをあけてみればいい意味で期待を大きく裏切る、決勝トーナメント出場という快挙を成し遂げたのだ。\n', '\n', 'このようなグローバルマインドを持って活躍したビジネスパーソンを称えるために設けられた賞が「シーバスリーガル18年 ゴールドシグネチャー・アワード2011」だ。プレミアムスコッチとして世界に君臨するシーバスリーガルから贈られる同賞は、あなたの1票とシーバスリーガルアンバサダーである作家・村上龍氏らによって決められる。\n', '\n', 'いま投票に参加すると抽選でペア25組50名を、2011年1月18日（火）にグランドハイアット東京にて開催される「シーバスリーガル18年 ゴールドシグネチャー・アワード2011」の会場にご招待するスペシャルプレゼントをご用意。当日は村上龍氏と、アワードで選ばれたビジネスパーソンによるスペシャルトークセッションが観られるのだ。会場に足を運べない人のためには、「シーバスリーガル18年」が18名に当たるというダブルチャンスまで用意されている。\n', '\n', 'プレミアムな味わいを持つシーバスリーガルが贈る賞は、誰の上に輝くのか。その結果を楽しみに待ちたい。\n', '\n', '■『シーバスリーガル18年 ゴールドシグネチャーアワード2011』詳細はコチラ\n']"
"「このまま仕事を続けられるのか不安です」 - 辛口説教部屋 vol.58
","http://news.livedoor.com/article/detail/5769429/
","['「3年で転職は早すぎる？」「将来が見えない」\n', '「仕事が面白くない」・・・若手社会人の悩みは尽きないもの。\n', 'そんな様々な悩みに辛口4姉妹がお答えします。\n', '\n', '\n', '今回のお悩み\n', '\n', 'Q：好きな仕事ですが、このまま続けることができるか不安です。\n', '\n', '\n', 'サービス業・販売\n', '29歳 男性 <悩める相談者 No.058>\n', '本が好きで、書店の販売員になりました。きつい仕事ですが、やりがいもあるし何より仕事が好きです。充実していると胸を張れるのですが、客観的に見ると休みが少なく、拘束時間が長いうえに、収入はそれほど良くないので将来の見通しは良くありません。\n', '好きだからずっと続けてこられましたが、年齢を重ねるほど体力的にも衰えて、きつくなってきました。30代が間近に迫ってきた今、このままこの仕事を続けていてよいのか迷っています。 \n', '\n', '\n', 'チリちゃんからの甘辛アドバイス\n', '\n', 'A：「好き」を貫くのもいいけれど…。\n', '\n', 'どうもチリだよ。今日も頑張って悩みにお答えします♪\n', '\n', '楽しみとしての仕事と、生活としての仕事の板ばさみってとこみたいね。体力的にも金銭的にも大変な仕事を続けられるのは「好きだから」こそ。それはチリ、うらやましく思うわ。\n', '\n', 'でも現実のことを考えるとそうも言ってられないもんね。私としては残念だけど、もっと条件の良い仕事に転職するのが一番だと思うの。本に関われる仕事は、書店だけじゃないわ。あなたが輝ける場所はきっと他にもあるわよ。 \n', '\n', '\n', '今回の説教\n', '\n', '好きに現実を合わせるより、現実に好きを合わせるほうが生きやすいの。\n', '\n', '（情報提供元：@type）\n', '\n', 'livedoor求人・転職\n', 'livedoor求人・転職は、あなたがどんな求人情報を探しているのかを瞬時に判断しておすすめするコンテンツ。「心機一転、新たな環境で活躍できる！ 積極採用を行っている企業特集」など、耳寄り転職情報を提供中です。\n', 'http://type.jp/s/livedoor/\n']"
"女性社長に聞く！接待、デートに使えるゴルフマナー【ゴルフ特集】
","http://news.livedoor.com/article/detail/4782686/
","['ビジネス、レジャー、デート・・・。あらゆるシーンで重宝されるゴルフ。もはやオジサンの社交ではなく、デキルオトコの“たしなみ”と言えるのかもしれない。しかしゴルフはプレイヤーの本性も如実に暴くスポーツでもある。ではゴルフビギナーはラウンド中にどのように振舞えば良いのだろうか。\n', '\n', '今回は一昨年にネイルサロンを起業し、休日には専らゴルフ、というネイルカセッタ代表の森田えりかさんに、デキルオトコの正しいゴルフマナーを伺った。\n', '\n', '——ゴルフを始めたきっかけは何だったのでしょうか？\n', '最初にゴルフと出合ったのは高校2年生の時でした。ゴルフを始めていた母にすすめられて週1回ほどスクールに通っていました。でも当時は遊びたい盛りで、サボってばかりでしたね。\n', '\n', '——すると趣味になったのはいつからでしょうか？\n', '知人の勧めもあって、本格的に始めたのはここ1年くらいなんですよ。今はちょうどゴルフシーズンですから月に3〜4回はラウンドに出ていますね。ちなみに練習も週に１〜２回は打ちっぱなしに通っています。\n', '\n', '——1年間で急激にハマったという感じですね。ではゴルフの魅力って何なのでしょうか？\n', '友達が増えるところですね！ネイルサロンのお店を経営したいと思って広島から上京したのですが、東京に来てからできたお友達はゴルフで知り合った方が多いんです。そういう部分もゴルフの大きな魅力だと思います。\n', '\n', '\n', '\n', '——人脈が広がりやすいということですね。\n', 'はい。広島で自動車メーカーの営業していた時も色々な方とお会いしていましたが、ゴルフほど人と仲良くなりやすいものは無いと思いました。例えばコンペで一緒のパーティーになった方だと、すぐに仲良くなります。時にはネイルサロンにお客様としていらっしゃってくれることもありますね。\n', '\n', '——そういえばこちらは男性向けのネイルサービスもあるとか。爪先まで気を使う男性は偉いと思いますが、ゴルフ場で同じパーティーの男性が格好良く見える瞬間ありますか？\n', 'そうですね、私が好きというのもあるんですが、PEARLY GATESやKAPPAなどのゴルフウェアを石川遼選手みたいに爽やかに着こなしている方だと惹かれちゃいます(笑)。\n', '\n', '——ハードル高いですね・・・。逆にこれはNG、というのはありますか？\n', '失敗した時、極度に落ち込んだり不機嫌になったりするのはNGですね。女の子がミスをした時に「早くしろよ」なんて怒鳴るのはもう最悪。この前もラウンド中、友達の女の子が一緒のパーティーの男性に怒鳴られて・・・。その男性は、普段は温厚な方なんですが、女友達は「二度と一緒にゴルフは行かない！」と言っていました。ゴルフって本当にプレイヤーの本性が出るスポーツなんですね。ですから、逆にゴルフコンパやゴルフデートってパートナーを見つけ出すのに最適なのかもしれません。\n', '\n', '\n', '——なるほど、平常心と思いやりが無いと女性の好感度も低いと。では女性の好感度を上げるような、森田さんオススメのゴルフ場を教えてください。\n', '私の課題がアプローチなので、個人的には茨城県の石岡ゴルフ場はアプローチの練習場が充実していますから、一番好きですね。女性ウケを狙うなら、クラブハウスやアメニティが充実していたり温泉が付いていたりするとポイントは高いですよ。例えばアコーディアグループのゴルフ場なんかはお勧めですね。\n', '\n', '——ちなみにラウンドする時にゲンを担いだりしますか？\n', 'う〜ん、ランチにビール、帰りにレッドブル、ですね。コースに出ると最初は調子が上がらないんですけど、ランチにビールを飲むと、身体の回転が良くなるのか、だんだんスコアが良くなって来るんですよ(笑)。\n', '\n', '——アルコール補給ですか。パーティー全体に勢いが出そうですね。では最後に、今後のスコア目標を教えてください。\n', '今のベストスコアが106でアベレージが110なので、今年中には90台で回れるようになりたいと思っています。今はスコアが良くなる、そんな成長の予感がありますので、密かに練習量を増やしているんですよ！\n', '\n', '今回のポイントは\n', '・OBに打ちこんでも平常心！\n', '・ゴルフデートは施設重視！\n', '・ゴルフウェアの着こなしは爽やかに！\n', '\n', '・ゴルフ特集 2010 - livedoor HOMME\n', '\n', '■ 関連リンク\n', '・ネイルカセッタ(男性も大歓迎！)\n', '\u3000※6月3日、新店舗がセンチュリータワービル3F(東京都港区赤坂6-6-2)にOPEN予定！\n', '・森田さんブログ\n', '・石岡ゴルフ場\n', '\n', '・ゴルフ特集 2010 - livedoor HOMME\n', '\n', '\n', '■関連記事\n', '・美人社長に聞く！接待、デートに使えるゴルフマナー！\n']"
"東京マラソンEXPOでランナーに必要な情報を提供／ミズノ
","http://news.livedoor.com/article/detail/4623239/
","['東京マラソンがいよいよ今週末に迫ってきた。\n', '\n', '2月25日（木）〜27日（土）には、東京ビッグサイト西1ホール・2ホールで「東京マラソン EXPO 2010」という展示＆イベントが開催され、もう一つの目玉となっている。\n', '\n', 'そんなEXPOには、大手スポーツメーカー・ミズノもブースを出展。「すべては、ランナーのために」というコンセプトで、ミズノランニングギアの紹介のみならず、各種クリニックやトークショーを実施、ランナーに必要な情報を総合的に提供するという。\n', '\n', '具体的な内容は、シューズアドバイスやランニングレシピといった常時実施されるものから、ランニングアドバイス、栄養アドバイス、テーピングアドバイス、クリニックアドバイス、ゲストトークショーなど、開催日時が決まっているものまで多岐に渡っている。\n']"
"「年収300万以下、このままだと欝になりそう…」 - 辛口説教部屋 vol.32
","http://news.livedoor.com/article/detail/5769315/
","['「3年で転職は早すぎる？」「将来が見えない」\n', '「仕事が面白くない」・・・若手社会人の悩みは尽きないもの。\n', 'そんな様々な悩みに辛口4姉妹がお答えします。\n', '\n', '\n', '今回のお悩み\n', '\n', 'Q：年収300万以下です。今のまま、収入が低い状態が続いたらと思うと欝になります。\n', '\n', '\n', 'サービス業・接客\n', '26歳\u3000男性 <悩める相談者 No.032>\n', '人生お金よりもやりがいだ！と思い、学生時代から好きだったサービス業へ就職。\n', 'しかし、入社をしたらほぼ休みはなく、毎日深夜まで働いており、まともな睡眠を全然取れていません。これだけ働いても年収はなんと300万円以下。先輩を見ても多少出世してもあまり年収は上がらない様子。自分の将来を考えると激しく落ち込んでしまいます。好きな仕事だったのに、今では苦痛です。 \n', '\n', '\n', 'プア子からの辛口アドバイス\n', '\n', 'A：好きなことを仕事にしているのだもの。\n', '\n', 'どうも。年収200万円台のプア子です。給料日になってもほとんどの使い道が決まってるの。\n', '\n', 'お悩み見たわ。辛いわね。サービス業だからお給料を我慢しなければいけない、普通の生活を送ることを諦めなければいけない、というわけではないのよ。他にもいろんな会社があるんだから、求人情報を見たり勉強しなさい。\n', '\n', '逆に、社員にそんな労働を強いないとやっていけない会社なんて、ビジネスとして成功してないわよ。どうせ働くならば、多くの人に受け入れられて、儲かる仕組みがある会社で上を目指しなさいよ！ \n', '\n', '\n', '今回の説教\n', '\n', '今すぐ他の会社の利益の仕組みや労働環境を調べなさい。\n', '\n', '（情報提供元：@type）\n', '\n', 'livedoor求人・転職\n', 'livedoor求人・転職は、あなたがどんな求人情報を探しているのかを瞬時に判断しておすすめするコンテンツ。「心機一転、新たな環境で活躍できる！ 積極採用を行っている企業特集」など、耳寄り転職情報を提供中です。\n', 'http://type.jp/s/livedoor/\n']"
"「メンズノンノ×ポール・スミス」のスペシャルイベントにご招待！
","http://news.livedoor.com/article/detail/6205110/
","['ポール・スミス福岡店にて展開しているポップアップショップ「FUKUOKA MUSIC CLUB」にて、2月3日（金）20時より男性ファッション誌『メンズノンノ』とコラボレーションしたスペシャルイベントが開催される。\n', '\n', '同イベントには、人気スタイリスト・丸山晃さん、メンズノンノ専属モデル・坂口健太郎さん、柳俊太郎さんをゲストとして招き、それぞれの選曲によるDJタイムに加え、参加者全員の中から彼らが選んだベストコーディネイト賞を決定するといったスペシャルなイベントのほか、豪華プレゼントも用意されているとのこと。\n', '\n', 'そして今回、こちらのイベントに40組80名のお客様をご招待いたします！ 下記のページから応募フォームへ進んで頂き、必要事項をご記入いただきご応募ください。抽選のうえ、ご招待の当選者には1/26（木）までにメールにてお返事させて頂きます。\n', '\n', '■応募はこちらから\n', '※当選者の方のカップルでのご来場は可能ですが、ご応募は男性に限らせて頂きます。\n', '※応募フォーム記入内容の個人情報につきましては、今回のイベントご招待のみの管理になりますが、今後、ポール・スミスに関する様々な情報をお届けしていますニュースレター会員の登録をご希望される方はこちらへ。\n', '\n', '■ニュースレター登録【⇒こちら】\n', '■公式サイトURL【⇒こちら】\n', '\n', '＜イベント詳細＞\n', '実施日：2012年2月3日（金）\n', '時間：20:00〜22:00（受付は19:30〜）\n', '場所：FUKUOKA MUSIC CLUB（ポール・スミス福岡店2F）\n']"
