title,url,content
"マスカラ美容液で、男心をくすぐるデカ目を手に入れよう！
","http://news.livedoor.com/article/detail/4622184/
","['\u3000男性が選ぶ女性の好きなしぐさによくランクインされている仕草の一つである、上目遣い。長くて黒々としたまつ毛はパチパチさせれば、気になるあの人も振り向いてくれるかも…。女子が毎日のメイクで一番気合を入れる部分だと言っても、過言では無い“まつ毛のボリューム”。ロングタイプやボリュームタイプ、ウォータプルーフタイプのマスカラを重ね塗りしている人も多いかもしれません。でも、最近のデカ目メイクは目元をパッチリさせつつも、自然な目力をアピールするのがブームなんです。\n', '\n', '\u3000そこで、今回のお試し隊では、まつげをケアしながら自然な目力を演出してくれるマスカラ美容液「ラブクローバー\u3000ラッシュトリートメント\u3000マスカラ」を試してみました。\u3000配合成分の半分以上が美容液成分という、まつ毛用の美容液でありながら、しっかりデカ目にしてくれるマスカラなんです。\n', '\n', '\u3000まず、パッケージの違いに注目！\u3000ふんわりセパレートか、ふさふさボリュームまつげかの二種類ありました。私は、ぎっしりボリュームよりもロングにしたいから、ふんわりセパレートをセレクトしてみました。\n', '\n', '\n', '\n', '\u3000中には、ふんわり＆ロングを作る2種の繊維がたっぷり！\u3000しかも、ビワ葉エキスとサクラ葉エキスが配合されていて、スキンケアしながらまつげをロングにしてくれちゃうという優れものなんです。\n', '\n', '\n', '\n', '\u3000その上、ブラシ先端部にも、液含みが良いようにVカットされているから、まつげをしっかり持ち上げてバッチリカールしてくれちゃいます。カールが綺麗に決まっていると、横顔でもモテ女になれちゃいます。\n', '\n', '\n', '\n', '\u3000それと、ウォータープルーフでにじまないから、パンダ目になる心配がないのは当然、お湯でするりとオフが可能で、ゴシゴシ洗ってまつげを傷める心配がなくとことん安心して使えますね。\n', '\n', '\u3000メイクしながらキレイも手に入れるなんて楽チンで嬉しいですよね！\u3000自然なデカ目で、男心をくすぐるモテ女を目指しましょう！\n', '\n', '今回のお試しモノ…\n', 'ラッシュトリートメント\u3000マスカラ-ラブクローバー\n', '毛髪のビタミンと呼ばれ、潤いを抱え込み美しいツヤ感を与えるパンテノールや、抜け毛を予防してまつげを保護する効果のあるニンジンエキスなどの保湿成分配合。\n', 'ロングタイプ（ふんわりセパレートまつげ）、ボリュームタイプ（ふさふさボリュームまつげ）\u3000税込1,575円（本体価格1,500円）\n', '・ラブクローバー\n']"
"インタビュー：御影倫代「仕事が好きだから、家でも仕事の話がしたい！」
","http://news.livedoor.com/article/detail/4782525/
","['\u3000若い医師たちが過酷な医療現場で、重責を担う仕事に悩み、人間関係に苦しみながらも、一歩ずつ成長していくレンタルNo.1の本格医療ドラマ「グレイズ・アナトミー」。個性的なキャラクターの仕事と恋をリアルに描いた内容は多くの女性の共感を呼び、「シーズン5」も12日より好評レンタル中です。今回は、長野放送の局アナウンサーを経て、現在フリーアナウンサーとして活躍中の御影倫代（みかげみちよ）さんに、ドラマを観て感じた事や“女子アナ”の仕事について伺いました。\n', '\n', '\n', '——今回は御影さんに、「グレイズ・アナトミー」シーズン1の1話、2話、3話をご覧になっていただきました。\n', '御影倫代（以下、御影）：素直に面白かったです。主人公のメレディスは仕事をとても頑張っているけど、疲れてる表情を見せたり、後の上司と気付かずに一夜を共にしてしまったり、人間臭い部分があって魅力的ですね。シリアス過ぎない所も、働く女性が観るのにはちょうど良いですね。事件が終わった後には、笑いがくるのでバランスが良いですね。\n', '\n', '\n', '——海外ドラマはよくご覧になりますか？\n', '御影：私はもともと「ビバリー・ヒルズ」が好きだったんですが、それ以後は離れてたんですよ。ハマると他の事をする時間がなくなっちゃうと困るので（笑）。でも、改めて海外ドラマってよく出来ていて面白いな〜って思いました。\n', '\n', '\n', '——「グレイズ・アナトミー」では、「シーズン1」の最初のシーンで登場人物たちが48時間寝ないで研修を行っていました。女子アナのお仕事も新人時代はとても苦労されたのではないですか？\n', '御影：どの職業でも色々な苦労があると思いますが、私の場合は“全否定”から始まりました。小学1年生みたいに「あいうえお」の発声練習をするのですが、「今の""あ""が汚い」とか注意されると、自信がなくなって声が出せなくなっちゃうんですよね。\n', '\n', '\n', '——話すお仕事なので、基本の発声が大切なのでしょうがそれは辛いですね。\n', '御影：1年目は本当に辛かったですね。後は、アナウンサーになって最初に就いた仕事が「県政からのお知らせ」だったのですが、私は「楽しいのがテレビ」と勘違いしている部分があったので、とにかく楽しくやったんですね。そうしたら、「情報を真面目に知りたいのに」というクレームがたくさん来てしまって。自分が良かれと思ってやったことが、人には良くない事もあるし、「これが私」と主張することが、正しいわけではないと学びました。\n', '\n', '\n', '——失礼な想像かもしれませんが、アナウンサーの世界は女性同士の争いが大変という事はありませんか？\n', '御影：職場の雰囲気は局によってかなり違うと思います。その差に関わってくるのは、実は男性の力で、男性が1人だけ可愛がってみたり、厳しくしてみたり、差をつけてしまうと女性はもめますよね。100%女性だと起こらないトラブルも起こってしまう。\n', '\n', '\n', '——確かに純粋な女性同士って意外とサッパリしていて、気を遣わない関係ですよね。\n', '御影：そうそう。女性の社会進出で、これからどんどん女性が職場に増えてくると思うんですね。だから男性も「女同士は恐いな」なんて遠巻きに見ているんじゃなくて、ちょっと気遣いをして欲しいと思います。私の経験でも、後輩に注意した時に、素直に聞く子と、男の人に泣きつく子がいたので、そういう時こそ男性に理解があると救われますね。\n', '\n', '\n', '——「グレイズ・アナトミー」も結局男性が絡んだ揉め事が多かったですものね。\n', '御影：クリスティーナ（主人公メレディスのインターン仲間であり、ライバル）は、すごく嫌なヤツでしたね（笑）。必死に仕事をしていると、キレイ事が言えないって所は共感できます。でも、こうやって人を妬んでばかりだと女性として美しくないですよね。 1 2\n']"
"『初売りセール』楽しみにしている女性は4割
","http://news.livedoor.com/article/detail/5240023/
","['\u3000今年も残すところあとわずか。まだまだ寒い日が続く中、冬物の洋服を安くゲット出来る、年始の『初売り』に気合が入っている女子も多いはず。女性向け情報サイト「escala cafe（エスカーラ・カフェ）」の調査によると、2011年の『初売りセール』に行くと回答している女性は、約4割もいました。\n', '\n', '\u3000「『初売りセール』を待って、今買い控えしているから」というコメントもあり、計画性の高さも伺えます。初売りで人気争奪しているのが福袋。最新のトレンドを取り入れたアイテムをリーズナブルな価格で提供してくれるファストファッションチェーンの「フォーエバー21」では、初売り特別企画としてレディス向けに2,100円、4,000円の2種類のラッキーバッグ（福袋）が発売されます。\n', '\n', '\u3000なんと2種類あるレディス用ラッキーバッグ（福袋）の内、2,100円の方には１コーディネート分、4,000円の方には2コーディネート分の商品が入る予定で、とってもお得。\n', '\n', '\u3000しかも、2011年のラッキーバッグ（福袋）には全ての袋に500円のショッピングクーポン（5,000円以上のショッピング時にのみ使用可能）がオマケとして入るほか、当たり賞品として各店舗数袋ずつランダムに、1万円のショッピングクーポンや、1年間を通じて21%OFF でショッピングが出来るディスカウントカード、店舗のスタイリストが付添って2時間のプライベートショッピングが楽しめるクーポンなど、普段から身近な「フォーエバー21」をもっとお得に使えるクーポンが惜しげもなく入っています。\n', '\n', '\u3000ラッキーバッグ（福袋）は、それぞれ渋谷店、新宿店、原宿店、ららぽーとTOKYO-BAY 店、オンラインショップ（http://forever21.co.jp/）にて1/1（土）に、銀座店では1/2（日）に発売致します。\n', '\n', '\u3000また、渋谷店と銀座店では700袋、新宿店、原宿店、ららぽーとTOKYO-BAY 店では600個、そして、オンラインショップではでも500袋も販売されるから、2011年は外出しなくてもラッキーバッグを手に入れることができちゃうかもしれません。2011年は、賢くラッキーバッグを手に入れたいですね！\n', '\n', '■関連リンク\n', '・フォーエバー21公式サイト\n', '・フォーエバー21オンラインショップ\n']"
"オシャレに、気持ちよくスポーツを楽しみたい女性のためのブランド「anima（アニマ）」が誕生
","http://news.livedoor.com/article/detail/6371925/
","['スポーツを通して「健康」と「美しさ」を目指す女子にとって、何より大事なのがスポーツウェア。汗をすばやく吸収してくれたり、身体をのびのびと動かせたり…\u3000高機能なウェアは欠かせない存在です。\n', '\n', '「でも、機能だけじゃなくて、日常でも着られるようなオシャレさもほしい！」という欲張りな女子は、今週末、神宮前に1号店をオープンするスポーツブランド「anima（アニマ）」をチェックしてみては？\n', '\n', '「anima」のウェアは、「Running（ランニング）」「Fitness&Yoga（フィットネス&ヨガ）」「Outdoor（アウトドア）」の3つのカテゴリーを軸に展開。ランニングは吸汗速乾や軽さを、フィットネス＆ヨガは肌触りの良さやストレッチを効かせた着心地感、アウトドアは防水・撥水などのプロテクト機能など、シーンごとに、スポーツウェアに求められる機能性と快適さを追求しています。\n', '\n', '嬉しいのが、機能性だけでなくファッション性を重視していること。ファッションブランド「WJKW」のデザイナーであり、サーフィンをライフワークとしている市川麻衣子さんがディレクションをつとめるアイテムは、トレンドが程よくプラスされ、シャーベットカラーや白など、女性らしくやわらかな色使い。その他、オーガニックコットンを使用したリラックスウェア、オーガニックコスメ、ギアなどのグッズもあって、日常生活でも活躍してくれそうです。\n', '\n', '3月17日（土）にオープンする神宮前店では、ウェアやスポーツグッズ、コスメ販売のほか、3階にロッカー、パウダールームを備えたスタジオを併設。第一線で活躍する講師によるヨガ、ランニングなどのワークショップが定期的に開催されるとのこと！\n', '1階には、日本で1号店となる「グリーンスムージースタンド」も併設。美と健康に興味のある女性が楽しめるショップです。\n', '\n', '春を迎え、そろそろ何か始めたいと思っているPeachyガールの皆さん、animaのウェアでスポーツにチャレンジしてみてはいかがでしょうか。新しい自分に出会えるチャンスかもしれませんよ。\n', '\n', '■関連サイト\n', 'animaオフィシャルサイト\n', '\n', '■anima神宮前店\n', '〒150-0001 東京都渋谷区神宮前 6-5-6\n', 'TEL.03-6418-4821 （3/16より開通）\n', 'OPEN.11：00〜20：00\n']"
"韓方の力で乾燥知らずの肌へ！この秋注目の韓方コスメ
","http://news.livedoor.com/article/detail/5083869/
","['心地のいい秋の日々が続いています。出歩くには気持ちがいいのですが、手先のかさつきや、唇のひび割れなど、そろそろお肌の乾燥が気になり始める頃ではないでしょうか。\n', '\n', '韓国ではこの時期人気を集めるのが“韓方”コスメ。自然の成分を凝縮した韓方コスメは、高い保湿効果を発揮することから、アンチエイジングケアとして日本でも高い人気を誇っています。そこで今回は、今年の秋冬に注目を集めそうな韓方コスメをご紹介！新しく登場したものやリニューアルしたものなど、どれも保湿力に優れたものばかりです。\n', '\n', '■MISSIA（ミシャ）：美思金雪\n', '\n', '「美思」はミシャの中でも韓方コスメを展開するシリーズです。高い保湿効果を発揮する「超補養（チョボヤン）」や「エイヒョン」といった基礎化粧品ラインは、乾燥気味のお肌をしっとりと守ってくれるとして高い人気を呼んでいます。そんな「美思」シリーズから新しく登場したのが「金雪（クムソル）」。超補養ラインが集中保湿だとしたら、金雪ラインは肌の生命力回復に注目した、よりプレミアムなラインだと言えます。\n', '\n', '山参抽出物1％、鹿茸抽出物、靈芝抽出物、白両金抽出物など、なんと97種もの漢方成分を配合。水の代わりに人参水を100％使用し、純金も含まれているので高級感もアップ。肌に活力を与え、ハリのある明るい肌に導いてくれます。無色素、無パラベン、無鉱物性、無GMO、無トリクロサン。 \n', '\n', '■秀麗韓（スリョハン）：秀麗韓シートマスク\n', 'http://www.sooryehan.co.kr/\n', '\n', '４種類の漢方成分を発酵させた「酵」ラインなどが人気の秀麗韓。この秋は、漢方の成分をギュッと濃縮し、老化で力を失い始めたお肌など、さまざまな肌トラブルを解決してくれるシートマスクが登場しています。私たちの体は、「五行丹」（木火土金水）と深く関係しているという考えの元、機能に応じて五種類のタイプを展開。「火」は肌の生気を取り戻すザクロ抽出物、「金」は弾力を与える靈芝抽出物、「水」は肌にハリを与える発酵月見草など、肌機能の活性化とアンチエイジング効果を発揮します。\n', '\n', '■NATURE REPUBLIC（ネイチャーリパブリック）：発酵名家\n', '\n', '高い保湿効果を発揮する分、値段もややお高めな韓方系の基礎化粧品。「もっと気軽に使えたら…」と思っている人も多いはずですよね。そのような場合は、１０月から新登場したネイチャーリパブリックの「発酵名家」ラインはいかがでしょう？精製水の代わりに水の気運を呼び起こす靈芝茸の発酵水を１００％使用。冬虫夏草、松茸、桑黄きのこ、ドクダミ、白花蛇舌草、樺孔茸といった７種の素材を蜂蜜に漬けて熟成させ、鹿茸抽出物や純金成分が配合されています。濃縮された高栄養成分が肌の奥にまで届き、乾燥知らずのモチモチとした弾力のある肌に作り上げます。\n', '\n', '韓国の韓方コスメいかがでしたか？「韓方」とは漢方を材料として韓国が独自の方式で作ったものです。参鶏湯（サムゲタン）など食べ物にも使われていて、健康食品として広く親しまれています。今年の秋は、韓方コスメで乾燥知らずのお肌を目指してみてはいかがでしょう？\n', '\n', '\n', '（文：林由美）\n', '\n', '■その他の韓国コスメも要チェック！\n', '・科学の力で肌がよみがえる？韓国発最先端「幹細胞コスメ」に注目！（2010年10月13日）\n', '・フルーツの香りにお肌もうっとり、韓国のフルーツ系クレンジング（2010年10月04日）\n', '・優れた肌再成効果を発揮、韓国で話題の「かたつむりクリーム」をチェック！（2010年09月24日）\n', '・注射器に試験管！？韓国の医療用品型コスメでアンチエイジング！（2010年09月10日）\n', '・ダメージヘアを集中補修、韓国的なツヤツヤ美人髪をめざそう！（2010年08月20日）\n']"
"彼氏がアスペルガー症候群かも?／結婚後に妻を不幸にさせる男など−【恋愛】週間ランキング
","http://news.livedoor.com/article/detail/6639781/
","['Peachyでも大人気の「恋愛」をテーマにした記事の週間ランキングです！2012年5月31日〜6月6日の間にPeachyのアプリでみんなが読んだ恋愛記事TOP5をお届けします。\n', '\n', '第1位：私の彼、もしかしてアスペルガー症候群？\n', '\n', '【質問者:20代女性】ちょっと人とは違うような、一般的には変わり者と言われる彼と付き合っています。他人に興味がなく結婚願望がないんです。結婚願望がないだけならそういう人なんだなと思いますが、何だか一緒にいて違和感を感じるというか、会話で相手の考えている事を察すことができず、言葉をそのまま鵜呑みにしてしまう人で、顔色や遠回しな言葉で察することができないんです。何かがおかしいのですが何故なのかは分かりません。コミュニケーション障害という言葉を耳にしましたがそれとは違う気がします。これは彼の個性なのでしょうか？どう彼と付き合っていくべきなのかアドバイスを下さい。\n', '\n', '第2位：覚えておきたい！セクシャル・マイノリティの用語解説【前編】\n', '\n', '【質問者：20代女性】初めまして。私は最近、ゲイの友達ができたんですが、会話中に専門的な言葉がいろいろ出てきて、その度に「？」となってしまいます。それでも多少、関係する用語は覚えられた気がするんですが、まだまだ分からない言葉がたくさんあります。なので、なにか他にも私の知らない用語の解説を行なってくれたら嬉しいです。よろしくお願いします。\n', '\n', '第3位：男が連れて歩きたい女と、実際に結婚する女の違いとは？\n', '\n', '【質問者：30代女性】Q．そろそろ結婚をしたいと考えている30代独身の女です。結婚できる女と出来ない女の違いは、何ですか？出来るだけ次付き合う男性と結婚がしたいので、男の心理がしりたいです。\n', '\n', '第4位：彼で本当に大丈夫？結婚後に妻を不幸にする男7タイプ【後編】\n', '\n', '前回の記事では、結婚するとあなたを不幸にする男7タイプのうち、まずは3つを紹介しました。では、残り4つのタイプを見ていきましょう。【後編】でお届けするのは、5：自分の友達を絶対に紹介してくれない男、6：「君のことを救いたいんだ」が口癖の男、7：人付き合いが良すぎる八方美人な男の3タイプです。\n', '\n', '第5位：甲斐性のない男でも彼女はできる？\n', '\n', '【質問者:30代男性】初めまして！僕は鬱病を10年患っていて、現在無職です。お金に余裕があるわけでもなく、外出することも少ないので女性との出会いすらないです。やっぱり甲斐性のない男はダメですか？こんな僕にも彼女ができる方法があれば、教えて下さい。\n', '\n', '\n', '以上、先週のPeachy【恋愛】カテゴリの人気記事ランキングでした！\n']"
"毎日七変化！　キュートなリラックスウェア
","http://news.livedoor.com/article/detail/5780120/
","['夏休みは実家に帰って、高校時代のスウェットでゴロゴロ、なんて人も多いはず。でも、そんな気が抜けた休み開けに待っているのは、だらけきって女子力が急落した自分の姿……。\n', '\n', '心身ともにリラックスするためにも、家でくつろぐときこそ、お気に入りのルームウェアを着てハッピーなで過ごしたいもの。今回は、着るだけで女子力がぐんぐんアガる、ガールのためのリラックスウェアをご紹介します。\n', '\n', 'いつでも気を抜かない！\u3000上級女子の姫気分ウェア\n', '\n', 'ヒールを履いていると自然と姿勢がよくなるように、姫気分になれる華やかなウェアを身にまとうと、それだけでゴージャスで幸せな気分に。リラックスタイム用に選ぶなら、着ていてラクなシルエットのものがオススメ。お家でバカンス気分に浸れます。家事などのちょっとした動きも、しなやかで優雅になりそうです。\n', '\n', '赤が印象的なヴェルニカのホルターロングドレスは、着心地がラクなのに加えて?シルエットの美しさ?が魅力。アップスタイルのヘアで背中のラインをキレイに見せて、上品かつセクシーに着こなして。\n', '\n', 'シルクシフォンプリントホルタードレス  40,950円\n', 'Velnica（ヴェルニカ）\n', 'お問い合わせ：03-6805-1215\n', '\n', '\n', '\n', 'バストの小花柄が清楚さを演出するホワイトのドレスは、キュートさとセクシーさのバランスが絶妙！\u3000締めつけないので、リラックスしつつも気合いを入れたい「彼との旅行」で着るのも◎。自然体のオシャレは、“自慢の彼女”になるための必須条件です。\n', '\n', 'シルクシフォン刺繍ロングドレス\u300033,600円\u3000\n', 'Velnica（ヴェルニカ）\n', 'お問い合わせ：03-6805-1215\n', '\n', '\n', '\n', 'そのままベッドに入るためのルームウェアにこだわりたいという人は、エスニック模様がキュートなナルエーのセットアップはいかが？\u3000ふんわりしたシルエットと、襟元の上品なレースがアクセントに。女友達とのお泊まり会でも、“差”をつけられるはず！\n', '\n', 'ルームウェア\u3000ティークロスレース\u30007,875円\u3000\n', 'ナルエー\n', 'お問い合わせ：03-5833-5991\n', '\n', '\n', '\n', '女心を?ふわふわ?くすぐる！\u3000キュートなガーリーウェア\n', '\n', '\n', '\n', '?ふわふわ??パステルカラー”といえば、女心をくすぐる代名詞。仕事でクタクタに疲れて帰った日も、やわらか素材でやさしい色のルームウェアに身を包めば、かたくなっていた心がするりとほどけていくもの。ふわふわキュートなアイテムに身を包んで、アロマを焚いたりしながら、ぜいたくなプライベートタイムを楽しんでみては？\n', '\n', 'ガールたちが愛してやまないのがgelato pique。やさしい色合いのショートロンパース＆ガウンのセットは、少し涼しくなってからも大活躍しそう。ショートパンツの何層にも重なったレースがガーリー気分を盛り上げてくれます。\n', '\n', '\n', 'フラワーレースショートロンパース\u30004,830円、フラワーレースショートガウン\u30005,880円\n', 'gelato pique（ジェラート ピケ）\n', 'お問い合わせ：03-6457-8217（ルミネエスト新宿店）\n', '\n', '\n', '\n', 'おなじみのパーカーは、何といってもふわふわモコモコな触り心地が魅力。羽織るだけで幸せな気分になれちゃいそうです。彼と家でDVDを見ているまったりタイムには、こんな思わず触りたくなるウェアを着て、ころんともたれかかってみるのもアリかも！\n', '\n', 'モコモコ“パウダー”グラデーションパーカ\u30006,930円\n', 'gelato pique（ジェラート ピケ）\n', 'お問い合わせ：03-6457-8217（ルミネエスト新宿店）\n', '\n', '\n', '\n', 'フロントの大きなリボンがロマンティックなルームシューズは、足元からかわいく変身させてくれます。ふんわりとした履き心地で、お部屋で過ごす時間がいっそう快適に。友達へのプレゼントにしても喜ばれそう！\n', '\n', '（写真）サテンリボンルームシューズ\u30002,940円\n', 'gelato pique（ジェラート ピケ）\n', 'お問い合わせ：03-6457-8217（ルミネエスト新宿店）\n', '\n', '\n', '\n', 'ガールにとって何よりも?癒し?になるのは、かわいい環境作りかもしれません。リラックス上手なガールへの第一歩は、キュートなウェア選びから！\n', '\n', ""（写真：西尾豊司\u3000文：K-Writer's Club 筋田千春）\n""]"
"秘伝の辛みそダレに漬けた絶品壷ホルモンに舌鼓　【プレゼント有】
","http://news.livedoor.com/article/detail/4972112/
","['\u3000肉食女子じゃなくても、時々むしょうに食べたくなるのが焼肉。特に猛暑で疲れた体は、栄養たっぷりのお肉を欲しているものです。毎日カロリーを気にしながら日々を送る女子にとって、焼肉の日は特別な開放日。せっかく焼肉を楽しむなら、美味しくなくちゃダメ！ さらにお財布にも優しいなら、なおさら嬉しいが女子の本音。そんな絶品の味を満喫できるのが、こちらのお店なのです。\n', '\n', '\u3000直営店7店舗、フランチャイズ5店舗を誇る「ホルモン焼肉 縁」。口コミで人気を呼び、毎日大盛況のこの店の看板メニューといえば、壷カルビ・壷ハラミ・壷ホルモンの3種。壷の中には、数十種類のフルーツや野菜を使ったオリジナル焼肉タレと特製辛みそ。その中にじっくり漬け込んだ30センチものカルビやホルモン、そしてハラミが入った逸品なのです。その味は、肉のジューシーさに加え、濃厚なタレ、辛みそが肉の甘みを一層引き立てており、一度食べるとやみつきになるおいしさ。この壷メニューのリピート率は90％と言うのも納得です。\n', '\n', '\u3000ホルモンは毎日仕入れを行い、脂ののっている物をもてなす。すべての肉への仕込みには細部まで。塩は、瀬戸内海の「藻塩」を使用するなど、素材へのこだわりも。\n', '\n', '\u3000そんな手の込んだメニューのほとんどが580円でいただけるのには驚くばかり。\n', '\n', '\u3000また、カクテルやサワー、焼酎、韓国で流行ってるマッコリ等お酒のバリエーションが豊富なのも女子には嬉しいばかり。ぜひ絶品焼肉を楽しんでみてはいかがですか？\n', '\n', 'ホルモン焼肉 縁 - 公式サイト\n', '\n', '\n', ' 5000円のお食事券1名様プレゼント \u3000ホルモン焼肉 縁\n', '\n', '応募はこちらから！（※応募にはlivedoor IDが必要となります）\n', '\n', '\n', '\n', '<\n']"
"ゴルフ女子必見、流行りのウェアを要チェック！
","http://news.livedoor.com/article/detail/4739743/
","['ゴルフを楽しむのに最適な季節がやってきましたね。\n', '\n', '近年では、機能性とファッション性を兼ね備えたウェアが次々とリリースされていますが、中でも一際高い人気を誇るのが、人気プロゴルファー＝横峯さくらさんのスタイルでも、すっかりお馴染みとなったスカート（もしくは、ボトム）スタイルでしょう。\n', '\n', 'そんな横峯さんにウェアを提供しているのは、人気ブランド＝ルコックゴルフになりますが、流行には敏感なゴルフ女子のために、この春、東京・広尾にオープンしたばかりの「ルコックゴルフ広尾店」を尋ね、さっそく人気のスカート・スタイルについて話を伺ってきました。\n', '\n', '可愛いだけではなく、長袖のシャツやハイソックスと組み合わせやすく、これらが引き締め効果ももたらすため、その人気が高まるばかりというスカート・スタイル。かつては、ロングパンツが人気でしたが、実際、スカートの中はパンツになっていることから、パンツと変わらぬ動きやすさと、スカートがめくれることを気にする必要がないという安心感も忘れてはいけません。\n', '\n', '\n', 'ルコックゴルフの中でも、横峯さんをイメージキャラクターに使用した「サクラコレクション」では、トップスとも合わせやすい丈の短いスカートが人気なんだとか。素材はメンズと同じくクールトランスファーPLUSを使用しており、汗をかいても乾きやすく、涼しくなりますので夏の暑いラウンドでも快適にプレーができますね。\n', '\n', 'ちなみに、横峯さんのラッキーカラーはイエローで、勝負の日には、どこかに黄色を身につけているそうです（去年、賞金女王になった最終日も黄色いウェアを着ていました）。\n', '\n', 'サクラコレクションは、20代〜30代の横峯さんくらいの女性をターゲットにしたコレクションで、ポップでビビットなカラーリングが多いのも特徴です。\n', '\n', '取材に伺った「ルコックゴルフ広尾店」からは、ゴールデンウィーク期間中（5月9日まで）「ライブドアを見た」と伝えれば、素敵なプレゼント（個数限定）を進呈して貰えるという嬉しい特典まで付けてくれました。この機会に是非ショップのほうにも足を運んでみて下さいね。\n', '\n', '・ルコックゴルフ公式サイト\n', '・ルコックゴルフ・オンラインショップ\n']"
"バレンタインの成功を左右する？　ラブカードで恋愛成就
","http://news.livedoor.com/article/detail/4555381/
","['\u3000バレンタインを機に、大好きなあの人に気持ちを伝えたい。そんな時は、誰でも緊張するものですよね。フラれてしまったらショックだし、どうせ告白するなら、やっぱり恋人としてお付き合いしてもらいたい！\u3000高まる気持ちを抑えきれないあなた、まずは、可愛いカードに思いを込めて、成功祈願をしてみませんか？\n', '\n', '\u3000ホテル ユニバーサル ポート（大阪）では、バレンタインに向けて、様々なキャンペーンを開催中です。恋の願いごとがある人のためには、「ラブボード」がオススメ。願いごとを「ラブカード」に書き、ラブボードに赤い糸で括り付けておくと、縁結びで有名な神社「愛染堂勝鬘院」 に奉納してくれるという嬉しいサービスです。\n', '\n', '\u3000また、カップルのために、1階ロビーの特設ステージに撮影用のフォトボードを設置。ボードの前に立っても後ろに立ってもハートが二人を包み込んで写るようにデザインされており、用意されたセルフタイマー台で、誰にも気兼ねなく撮影することが可能になっています。\n', '\n', '\u3000あの人との2ショット写真に憧れるなら、まずは恋愛祈願から！\u3000恋を叶えたいお友達と一緒に書いて、お互いの悩みや必勝法を相談しあうのも良いですね。神頼み＆女の子パワーで、今年のバレンタインをハッピーにしちゃいましょう。\n', '\n', '■関連リンク\n', '・ホテル ユニバーサル ポート\n', '\n', '☆才職兼美 バレンタイン特集 2010\n']"
